country,date,value
Denmark,2020-03-21,0.9796334012219959
Denmark,2020-03-22,0.959792477302205
Denmark,2020-03-23,0.9803030303030303
Denmark,2020-03-24,0.9684542586750788
France,2020-03-24,0.6704980842911877
Germany,2020-03-24,0.8656126482213439
Hungary,2020-03-24,0.9299610894941635
Italy,2020-03-21,0.9074074074074074
Italy,2020-03-22,0.905511811023622
Italy,2020-03-23,0.8931297709923665
Italy,2020-03-24,0.875
Sweden,2020-03-21,0.9215686274509803
Sweden,2020-03-22,0.9330708661417323
Sweden,2020-03-23,0.9272030651340997
Sweden,2020-03-24,0.9467213114754098
United Kingdom,2020-03-21,0.924
United Kingdom,2020-03-22,0.9446640316205533
United Kingdom,2020-03-23,0.9409448818897638
United Kingdom,2020-03-24,0.94
USA,2020-03-21,0.8837209302325582
USA,2020-03-22,0.8884615384615384
USA,2020-03-23,0.889763779527559
USA,2020-03-24,0.8830645161290323
