country,symptom,date,pct_yes
Denmark,Contact,2020-03-21,0.23828920570264767
Denmark,Contact,2020-03-22,0.25421530479896237
Denmark,Contact,2020-03-23,0.25606060606060604
Denmark,Contact,2020-03-24,0.2665615141955836
Denmark,Eaten healthy,2020-03-21,0.7494908350305499
Denmark,Eaten healthy,2020-03-22,0.7626459143968871
Denmark,Eaten healthy,2020-03-23,0.7363636363636363
Denmark,Eaten healthy,2020-03-24,0.7145110410094637
Denmark,Exercise,2020-03-21,0.48879837067209775
Denmark,Exercise,2020-03-22,0.5175097276264592
Denmark,Exercise,2020-03-23,0.5333333333333333
Denmark,Exercise,2020-03-24,0.4968454258675079
Denmark,Feeling alone,2020-03-21,0.22606924643584522
Denmark,Feeling alone,2020-03-22,0.25810635538262
Denmark,Feeling alone,2020-03-23,0.25
Denmark,Feeling alone,2020-03-24,0.23974763406940064
France,Contact,2020-03-24,0.3448275862068966
France,Eaten healthy,2020-03-24,0.36015325670498083
France,Exercise,2020-03-24,0.41762452107279696
France,Feeling alone,2020-03-24,0.4099616858237548
Germany,Contact,2020-03-24,0.24110671936758893
Germany,Eaten healthy,2020-03-24,0.7272727272727273
Germany,Exercise,2020-03-24,0.5612648221343873
Germany,Feeling alone,2020-03-24,0.2490118577075099
Hungary,Contact,2020-03-24,0.1867704280155642
Hungary,Eaten healthy,2020-03-24,0.8171206225680934
Hungary,Exercise,2020-03-24,0.5097276264591439
Hungary,Feeling alone,2020-03-24,0.19844357976653695
Italy,Contact,2020-03-21,0.11481481481481481
Italy,Contact,2020-03-22,0.13385826771653545
Italy,Contact,2020-03-23,0.13358778625954199
Italy,Contact,2020-03-24,0.078125
Italy,Eaten healthy,2020-03-21,0.8555555555555555
Italy,Eaten healthy,2020-03-22,0.8622047244094488
Italy,Eaten healthy,2020-03-23,0.8664122137404581
Italy,Eaten healthy,2020-03-24,0.8515625
Italy,Exercise,2020-03-21,0.37777777777777777
Italy,Exercise,2020-03-22,0.36220472440944884
Italy,Exercise,2020-03-23,0.3473282442748092
Italy,Exercise,2020-03-24,0.359375
Italy,Feeling alone,2020-03-21,0.3962962962962963
Italy,Feeling alone,2020-03-22,0.38976377952755903
Italy,Feeling alone,2020-03-23,0.40076335877862596
Italy,Feeling alone,2020-03-24,0.3671875
Sweden,Contact,2020-03-21,0.403921568627451
Sweden,Contact,2020-03-22,0.3937007874015748
Sweden,Contact,2020-03-23,0.37547892720306514
Sweden,Contact,2020-03-24,0.4139344262295082
Sweden,Eaten healthy,2020-03-21,0.8
Sweden,Eaten healthy,2020-03-22,0.7637795275590551
Sweden,Eaten healthy,2020-03-23,0.7049808429118773
Sweden,Eaten healthy,2020-03-24,0.8360655737704918
Sweden,Exercise,2020-03-21,0.6705882352941176
Sweden,Exercise,2020-03-22,0.6141732283464567
Sweden,Exercise,2020-03-23,0.5555555555555556
Sweden,Exercise,2020-03-24,0.6475409836065574
Sweden,Feeling alone,2020-03-21,0.2980392156862745
Sweden,Feeling alone,2020-03-22,0.2795275590551181
Sweden,Feeling alone,2020-03-23,0.32567049808429116
Sweden,Feeling alone,2020-03-24,0.29098360655737704
United Kingdom,Contact,2020-03-21,0.432
United Kingdom,Contact,2020-03-22,0.4505928853754941
United Kingdom,Contact,2020-03-23,0.35039370078740156
United Kingdom,Contact,2020-03-24,0.32
United Kingdom,Eaten healthy,2020-03-21,0.712
United Kingdom,Eaten healthy,2020-03-22,0.7233201581027668
United Kingdom,Eaten healthy,2020-03-23,0.7913385826771654
United Kingdom,Eaten healthy,2020-03-24,0.748
United Kingdom,Exercise,2020-03-21,0.532
United Kingdom,Exercise,2020-03-22,0.48221343873517786
United Kingdom,Exercise,2020-03-23,0.5708661417322834
United Kingdom,Exercise,2020-03-24,0.524
United Kingdom,Feeling alone,2020-03-21,0.44
United Kingdom,Feeling alone,2020-03-22,0.39920948616600793
United Kingdom,Feeling alone,2020-03-23,0.4448818897637795
United Kingdom,Feeling alone,2020-03-24,0.376
USA,Contact,2020-03-21,0.49224806201550386
USA,Contact,2020-03-22,0.4115384615384615
USA,Contact,2020-03-23,0.4094488188976378
USA,Contact,2020-03-24,0.4153225806451613
USA,Eaten healthy,2020-03-21,0.7248062015503876
USA,Eaten healthy,2020-03-22,0.6846153846153846
USA,Eaten healthy,2020-03-23,0.6732283464566929
USA,Eaten healthy,2020-03-24,0.6653225806451613
USA,Exercise,2020-03-21,0.5155038759689923
USA,Exercise,2020-03-22,0.48846153846153845
USA,Exercise,2020-03-23,0.515748031496063
USA,Exercise,2020-03-24,0.5
USA,Feeling alone,2020-03-21,0.42248062015503873
USA,Feeling alone,2020-03-22,0.4153846153846154
USA,Feeling alone,2020-03-23,0.39763779527559057
USA,Feeling alone,2020-03-24,0.3951612903225806
